sample_name,individual,Experiment,Instrument,sample_preparation_protocol
SRR13147913,132,SRX9588226,Illumina HiSeq 4000,protocol A
SRR13147914,132,SRX9588226,Illumina HiSeq 4000,protocol A
SRR13147915,132,SRX9588226,Illumina HiSeq 4000,protocol A
SRR13147916,132,SRX9588226,Illumina HiSeq 4000,protocol A
SRR13147917,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147918,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147919,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147920,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147921,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147922,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147923,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147924,132,SRX9588227,Illumina NovaSeq 6000,protocol A
SRR13147925,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147926,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147927,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147928,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147929,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147930,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147931,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147932,127,SRX9588228,Illumina NovaSeq 6000,protocol B
SRR13147933,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147934,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147935,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147936,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147937,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147938,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147939,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147940,127,SRX9588229,Illumina NovaSeq 6000,protocol B
SRR13147941,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147942,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147943,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147944,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147945,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147946,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147947,127,SRX9588230,Illumina NovaSeq 6000,protocol B
SRR13147948,127,SRX9588230,Illumina NovaSeq 6000,protocol B
