sample_name,fq1_uri,fq2_uri,library_type,cdna_read,umi_read,barcode_read,GSM,sample_preparation_protocol,geo_sample_name,ALEVIN_MAP_PARAM
SRR13147913,data/SRR13147913_1.fastq,data/SRR13147913_2.fastq,10xV2,read 2,read 1,NA,GSM4946261,protocol A,adult1,--chromium -l IU
SRR13147914,data/SRR13147914_1.fastq,data/SRR13147914_2.fastq,10xV2,read 2,read 1,NA,GSM4946261,protocol A,adult1,--chromium -l IU
SRR13147915,data/SRR13147915_1.fastq,data/SRR13147915_2.fastq,10xV2,read 2,read 1,NA,GSM4946261,protocol A,adult1,--chromium -l IU
SRR13147916,data/SRR13147916_1.fastq,data/SRR13147916_2.fastq,10xV2,read 2,read 1,NA,GSM4946261,protocol A,adult1,--chromium -l IU
SRR13147917,data/SRR13147917_1.fastq,data/SRR13147917_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147918,data/SRR13147918_1.fastq,data/SRR13147918_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147919,data/SRR13147919_1.fastq,data/SRR13147919_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147920,data/SRR13147920_1.fastq,data/SRR13147920_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147921,data/SRR13147921_1.fastq,data/SRR13147921_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147922,data/SRR13147922_1.fastq,data/SRR13147922_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147923,data/SRR13147923_1.fastq,data/SRR13147923_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147924,data/SRR13147924_1.fastq,data/SRR13147924_2.fastq,10xV2,read 2,read 1,NA,GSM4946262,protocol A,adult2,--chromium -l IU
SRR13147925,data/SRR13147925_1.fastq,data/SRR13147925_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147926,data/SRR13147926_1.fastq,data/SRR13147926_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147927,data/SRR13147927_1.fastq,data/SRR13147927_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147928,data/SRR13147928_1.fastq,data/SRR13147928_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147929,data/SRR13147929_1.fastq,data/SRR13147929_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147930,data/SRR13147930_1.fastq,data/SRR13147930_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147931,data/SRR13147931_1.fastq,data/SRR13147931_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147932,data/SRR13147932_1.fastq,data/SRR13147932_2.fastq,10xV3,read 2,read 1,NA,GSM4946263,protocol B,adult3,--chromiumV3 -l IU
SRR13147933,data/SRR13147933_1.fastq,data/SRR13147933_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147934,data/SRR13147934_1.fastq,data/SRR13147934_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147935,data/SRR13147935_1.fastq,data/SRR13147935_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147936,data/SRR13147936_1.fastq,data/SRR13147936_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147937,data/SRR13147937_1.fastq,data/SRR13147937_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147938,data/SRR13147938_1.fastq,data/SRR13147938_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147939,data/SRR13147939_1.fastq,data/SRR13147939_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147940,data/SRR13147940_1.fastq,data/SRR13147940_2.fastq,10xV3,read 2,read 1,NA,GSM4946264,protocol B,adult4,--chromiumV3 -l IU
SRR13147941,data/SRR13147941_1.fastq,data/SRR13147941_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147942,data/SRR13147942_1.fastq,data/SRR13147942_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147943,data/SRR13147943_1.fastq,data/SRR13147943_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147944,data/SRR13147944_1.fastq,data/SRR13147944_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147945,data/SRR13147945_1.fastq,data/SRR13147945_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147946,data/SRR13147946_1.fastq,data/SRR13147946_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147947,data/SRR13147947_1.fastq,data/SRR13147947_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
SRR13147948,data/SRR13147948_1.fastq,data/SRR13147948_2.fastq,10xV3,read 2,read 1,NA,GSM4946265,protocol B,adult5,--chromiumV3 -l IU
